concept,supersense,zipf,conc,aoa,polysemy,n_tokens
sprout,noun.plant,3.11,4.64,9.11,2,2
truffle,noun.plant,3.06,4.6,13.62,3,2
hickory,noun.plant,3.12,4.34,9.39,2,3
sunflower,noun.plant,3.36,4.8,6.0,1,2
stump,noun.plant,3.45,4.78,7.58,4,1
maize,noun.plant,3.34,4.58,9.59,2,1
poppy,noun.plant,3.59,4.69,10.367289999999999,1,2
fungus,noun.plant,3.53,4.59,8.44,1,1
lily,noun.plant,3.95,4.69,6.669311000000001,1,2
blade,noun.plant,4.19,4.93,6.72,9,1
cod,noun.plant,3.89,4.61,11.5,3,1
fruit,noun.plant,4.57,4.81,3.63,3,1
daisy,noun.plant,3.78,5.0,5.550326,1,2
delinquency,noun.possession,2.92,2.32,13.26,3,3
forfeiture,noun.possession,3.04,2.63,13.18,3,1
bankroll,noun.possession,2.86,3.75,11.06,1,2
sixpence,noun.possession,2.68,4.45,10.5,1,3
overcharge,noun.possession,2.49,2.46,10.11,1,2
dowry,noun.possession,3.13,3.29,14.59,1,2
homestead,noun.possession,3.49,4.07,12.78,3,2
rebate,noun.possession,3.31,3.21,12.21,2,1
subsistence,noun.possession,3.11,2.28,13.18,3,2
medallion,noun.possession,3.1,4.68,10.26,4,3
bounty,noun.possession,3.74,3.41,9.35,4,1
salvage,noun.possession,3.65,3.21,10.11,3,1
allowance,noun.possession,3.85,3.07,6.95,6,1
debit,noun.possession,3.62,3.66,14.26,1,1
paycheck,noun.possession,3.5,4.41,8.78,1,1
currency,noun.possession,4.37,4.25,9.21,3,1
compensation,noun.possession,4.33,3.25,11.8,3,1
bail,noun.possession,4.01,3.86,10.16,2,1
sum,noun.possession,4.34,2.89,7.1,6,1
scholarship,noun.possession,4.15,2.96,11.11,2,1
budget,noun.possession,4.82,3.14,10.05,2,1
cut,noun.possession,5.24,4.55,4.43,20,1
pay,noun.possession,5.4,3.54,5.5,1,1
stock,noun.possession,4.93,4.19,9.22,17,1
loss,noun.possession,5.07,2.19,5.0,8,1
overcompensation,noun.process,1.67,1.83,12.83,2,3
childbearing,noun.process,2.62,3.57,10.37,1,2
mitosis,noun.process,2.62,3.39,13.76,1,2
desensitization,noun.process,2.32,2.14,15.53,1,4
heredity,noun.process,2.57,1.81,11.05,2,3
coagulation,noun.process,2.69,3.62,14.0,1,3
eroding,noun.process,2.85,3.35,10.17,1,2
replenishment,noun.process,2.74,2.28,10.89,1,2
menstruation,noun.process,2.9,4.0,10.39,1,2
birthing,noun.process,2.94,3.42,10.94,1,2
digestion,noun.process,3.31,3.66,10.26,3,1
oxidation,noun.process,3.39,3.33,13.16,1,1
leach,noun.process,3.25,4.15,9.19502,1,2
refrigeration,noun.process,3.18,3.92,7.39,2,2
saturation,noun.process,3.37,2.72,12.05,4,1
segregation,noun.process,3.6,2.65,11.28,3,1
metabolism,noun.process,3.78,2.27,12.0,2,1
erosion,noun.process,3.64,3.83,10.32,4,1
flaming,noun.process,3.43,3.96,7.32,1,1
blaze,noun.process,3.69,4.28,7.47,5,1
melt,noun.process,3.96,3.96,5.47,1,1
reaction,noun.process,4.73,2.41,8.3,7,1
evolution,noun.process,4.41,2.61,10.0,2,1
hatch,noun.process,3.82,4.46,7.0,3,1
decay,noun.process,3.83,3.89,8.79,5,1
megaton,noun.quantity,2.33,3.17,13.81,2,2
shipload,noun.quantity,1.62,4.19,8.68,1,2
dustpan,noun.quantity,1.9,5.0,6.47,2,2
headcount,noun.quantity,2.44,3.85,8.16,1,2
microgram,noun.quantity,1.78,3.25,13.21,1,2
crumb,noun.quantity,2.97,4.8,5.89,3,2
denominator,noun.quantity,3.13,3.36,11.17,1,1
headway,noun.quantity,3.04,2.3,11.06,2,2
nix,noun.quantity,3.0,1.82,11.88,1,2
byte,noun.quantity,3.15,2.68,13.57,1,1
watt,noun.quantity,3.69,3.1,12.338835000000001,2,1
shred,noun.quantity,3.32,4.38,9.28,2,1
twain,noun.quantity,3.39,2.92,11.82,1,2
quota,noun.quantity,3.53,2.89,12.64,3,1
gill,noun.quantity,3.63,4.33,7.393987000000001,4,2
tenth,noun.quantity,3.92,3.07,5.411785000000001,2,1
imaginary,noun.quantity,3.79,1.74,6.47,1,1
digit,noun.quantity,3.77,4.52,9.26,3,1
ace,noun.quantity,4.11,3.92,8.83,6,1
meter,noun.quantity,4.09,4.7,8.56,4,1
minimum,noun.quantity,4.69,2.25,8.11,2,1
seven,noun.quantity,5.08,3.72,5.3585,2,1
ten,noun.quantity,5.05,3.39,3.578781,2,1
hundred,noun.quantity,4.71,3.2,5.47,1,1
billion,noun.quantity,4.75,3.79,8.37,3,1
symbiosis,noun.relation,2.71,2.48,14.67,1,2
pertinence,noun.relation,1.74,2.0,12.06,1,3
perfective,noun.relation,1.97,1.65,12.95,2,2
relevancy,noun.relation,2.72,1.62,11.53,1,2
proportionality,noun.relation,2.65,2.79,13.47,2,2
chronology,noun.relation,3.22,2.29,12.83,3,2
synchronization,noun.relation,3.11,2.62,12.74,3,1
motherhood,noun.relation,3.37,3.0,7.55,1,2
exponential,noun.relation,3.33,1.58,13.79,1,1
reciprocal,noun.relation,3.22,2.46,11.8,3,1
paradigm,noun.relation,3.61,1.73,16.6,4,1
imperative,noun.relation,3.66,1.36,13.24,2,1
incidence,noun.relation,3.64,2.2,12.17,2,1
twelfth,noun.relation,3.51,3.07,7.106248000000001,2,2
residual,noun.relation,3.52,2.43,11.94,2,1
vertical,noun.relation,4.15,3.48,9.71,2,1
northeast,noun.relation,4.06,3.83,7.47,4,1
remainder,noun.relation,4.03,3.11,8.0,4,1
ninth,noun.relation,4.07,3.57,5.912664,2,1
contrast,noun.relation,4.46,2.64,9.85,5,1
politics,noun.relation,4.87,2.66,9.37,5,1
fourth,noun.relation,4.83,3.39,4.676452000000001,3,1
relationship,noun.relation,5.15,2.8,9.11,4,1
east,noun.relation,5.16,3.04,6.94,5,1
part,noun.relation,5.78,3.29,5.11,12,1
droop,noun.shape,2.51,3.68,10.12,1,2
trapezoid,noun.shape,2.27,4.43,12.11,2,4
dewdrop,noun.shape,1.77,4.69,8.68,1,2
protrusion,noun.shape,2.48,3.9,12.37,2,2
pucker,noun.shape,2.52,4.13,7.61,1,2
blob,noun.shape,3.07,4.06,6.16,1,1
zigzag,noun.shape,2.82,3.52,6.06,1,2
midline,noun.shape,2.63,3.42,11.53,1,2
hexagon,noun.shape,2.84,4.52,7.95,1,2
pellet,noun.shape,3.1,4.56,10.18,2,1
taper,noun.shape,3.3,3.56,10.7,4,1
hump,noun.shape,3.36,4.36,6.11,1,2
incision,noun.shape,3.16,4.07,11.72,2,2
crease,noun.shape,3.31,4.45,7.79,3,2
crotch,noun.shape,3.27,4.77,8.94,3,2
notch,noun.shape,3.78,4.23,8.47,4,1
pyramid,noun.shape,3.75,4.96,7.61,3,1
funnel,noun.shape,3.47,4.52,8.44,3,1
scotch,noun.shape,3.69,4.55,11.83,2,2
brink,noun.shape,3.51,2.48,10.47,3,1
hollow,noun.shape,3.95,3.61,7.44,3,1
join,noun.shape,5.0,2.86,5.83,2,1
sector,noun.shape,4.66,3.41,13.0,6,1
