concept,source,n_words,zipf_head,zipf_min,conc,aoa,wn_senses,wn_depth,ev_frac_llama8b,val_r_llama8b,ev_frac_falcon3b,val_r_falcon3b
cloaca,wordnet_noun,1,2.16,2.16,,,2,11.0,,,,
cloak,wordnet_noun,1,3.57,3.57,4.71,6.95,5,10.0,,,,
cloakroom,wordnet_noun,1,2.41,2.41,4.48,9.35,2,9.0,,,,
clobber,wordnet_noun,1,2.28,2.28,3.55,8.53,3,6.0,,,,
cloche,wordnet_noun,1,2.11,2.11,,,2,11.0,,,,
clock,wordnet_noun,1,4.43,4.43,5.0,4.42,2,10.0,,,,
clocking,wordnet_noun,1,2.87,2.87,,,2,6.0,,,,
clockwork,wordnet_noun,1,3.2,3.2,3.36,8.79,1,8.0,,,,
clod,wordnet_noun,1,2.32,2.32,,10.59,2,8.0,,,,
clog,wordnet_noun,1,2.99,2.99,3.47,9.39,9,12.0,,,,
cloister,wordnet_noun,1,2.75,2.75,,14.71,5,10.0,,,,
clone,wordnet_noun,1,3.68,3.68,4.34,8.89,4,8.0,,,,
clonidine,wordnet_noun,1,2.08,2.08,,,1,8.0,,,,
cloning,wordnet_noun,1,3.23,3.23,2.69,14.2,2,11.0,,,,
clop,wordnet_noun,1,2.21,2.21,,9.19,2,6.0,,,,
close,wordnet_noun,1,5.36,5.36,3.2,4.5,37,11.0,,,,
